,date,close_price,raise_rate,ma_v,ma_r,ex_v,ex_r,big_v,big_r,mid_v,mid_r,sm_v,sm_r
0,2015-11-06,9.39,2.18,1062,6.25,625,3.68,437,2.57,-769,-4.53,-293,-1.73
1,2015-11-05,9.19,0.44,-283,-1.72,304,1.85,-587,-3.57,83.03,0.51,200,1.22
2,2015-11-04,9.15,4.93,654,5.09,-383,-2.98,1036,8.07,-123,-0.96,-531,-4.13
3,2015-11-03,8.72,0.58,-215,-3.03,0,0,-215,-3.03,-333,-4.68,548,7.71
4,2015-11-02,8.67,-4.09,-1322,-13.37,-628,-6.35,-694,-7.02,318,3.21,1004,10.15
5,2015-10-30,9.04,-3.83,-1926,-14.35,-511,-3.80,-1415,-10.54,251,1.87,1675,12.48
6,2015-10-29,9.40,-1.57,-3721,-12.13,-1047,-3.41,-2673,-8.71,440,1.43,3280,10.69
7,2015-10-28,9.55,8.52,3716,9.47,1128,2.87,2588,6.59,-1216,-3.10,-2501,-6.37
8,2015-10-27,8.80,-0.56,-1000,-10.11,-181,-1.83,-819,-8.28,349,3.53,651,6.58
9,2015-10-26,8.85,0.45,-607,-5.48,-73.62,-0.67,-533,-4.82,38.45,0.35,568,5.13
10,2015-10-23,8.81,5.13,900,6.36,720,5.09,180,1.27,-605,-4.28,-294,-2.08
11,2015-10-22,8.38,2.70,122,1.56,64.12,0.82,57.90,0.74,-170,-2.18,48.35,0.62
12,2015-10-21,8.16,-9.93,-3392,-20.29,-1010,-6.04,-2382,-14.25,787,4.71,2605,15.59
13,2015-10-20,9.06,1.34,-225,-2.12,-156,-1.47,-68.90,-0.65,-8.12,-0.08,233,2.19
14,2015-10-19,8.94,0.34,86.63,0.58,112,0.76,-25.79,-0.17,-244,-1.65,157,1.06
15,2015-10-16,8.91,2.89,-41.81,-0.27,5.22,0.03,-47.03,-0.31,355,2.31,-313,-2.04
16,2015-10-15,8.66,3.59,603,6.55,149,1.61,454,4.93,-44.95,-0.49,-558,-6.06
17,2015-10-14,8.36,-3.35,-1223,-13.67,-40.47,-0.45,-1183,-13.22,64.03,0.72,1159,12.96
18,2015-10-13,8.65,2.13,-357,-3.32,116,1.08,-473,-4.40,94.28,0.88,262,2.44
19,2015-10-12,8.47,4.70,277,2.14,83.45,0.64,194,1.49,166,1.28,-444,-3.42
20,2015-10-09,8.09,0.25,-525,-7.05,7.06,0.09,-532,-7.15,255,3.43,270,3.63
21,2015-10-08,8.07,4.26,-29.52,-0.38,118,1.54,-148,-1.93,67.16,0.88,-37.64,-0.49
22,2015-09-30,7.74,2.52,-418,-7.24,-416,-7.21,-2.00,-0.03,242,4.19,176,3.06
23,2015-09-29,7.55,-2.83,-119,-3.58,0,0,-119,-3.58,-239,-7.19,357,10.77
24,2015-09-28,7.77,2.10,419,12.47,0,0,419,12.47,36.49,1.09,-456,-13.56
25,2015-09-25,7.61,-3.18,-238,-4.46,-233,-4.38,-4.70,-0.09,-68.88,-1.29,306,5.76
26,2015-09-24,7.86,2.21,250,4.27,33.63,0.57,216,3.70,128,2.18,-378,-6.45
27,2015-09-23,7.69,-4.23,-782,-10.61,-130,-1.76,-652,-8.85,-405,-5.50,1187,16.11
28,2015-09-22,8.03,2.69,121,0.96,784,6.23,-663,-5.27,34.34,0.27,-155,-1.23
29,2015-09-21,7.82,3.71,263,3.87,24.89,0.37,238,3.50,135,1.98,-397,-5.85
